"YEAR";"TABLE";"LINK";"PATH";"DATE"
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1901.dbc";"outputs/2019/SIH/dbc/RDAC1901.dbc";2019-07-29 11:51:57
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1902.dbc";"outputs/2019/SIH/dbc/RDAC1902.dbc";2019-07-29 11:51:58
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1903.dbc";"outputs/2019/SIH/dbc/RDAC1903.dbc";2019-07-29 11:51:59
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1904.dbc";"outputs/2019/SIH/dbc/RDAC1904.dbc";2019-07-29 11:51:59
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1901.dbc";"outputs/2019/SIH/dbc/RDAL1901.dbc";2019-07-29 11:52:01
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1902.dbc";"outputs/2019/SIH/dbc/RDAL1902.dbc";2019-07-29 11:52:02
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1903.dbc";"outputs/2019/SIH/dbc/RDAL1903.dbc";2019-07-29 11:52:03
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1904.dbc";"outputs/2019/SIH/dbc/RDAL1904.dbc";2019-07-29 11:52:05
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1905.dbc";"outputs/2019/SIH/dbc/RDAL1905.dbc";2019-07-29 11:52:06
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1901.dbc";"outputs/2019/SIH/dbc/RDAM1901.dbc";2019-07-29 11:52:07
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1902.dbc";"outputs/2019/SIH/dbc/RDAM1902.dbc";2019-07-29 11:52:08
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1903.dbc";"outputs/2019/SIH/dbc/RDAM1903.dbc";2019-07-29 11:52:10
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1904.dbc";"outputs/2019/SIH/dbc/RDAM1904.dbc";2019-07-29 11:52:11
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1905.dbc";"outputs/2019/SIH/dbc/RDAM1905.dbc";2019-07-29 11:52:13
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAP1901.dbc";"outputs/2019/SIH/dbc/RDAP1901.dbc";2019-07-29 11:52:13
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAP1902.dbc";"outputs/2019/SIH/dbc/RDAP1902.dbc";2019-07-29 11:52:14
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAP1903.dbc";"outputs/2019/SIH/dbc/RDAP1903.dbc";2019-07-29 11:52:15
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAP1904.dbc";"outputs/2019/SIH/dbc/RDAP1904.dbc";2019-07-29 11:52:16
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAP1905.dbc";"outputs/2019/SIH/dbc/RDAP1905.dbc";2019-07-29 11:52:17
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDBA1901.dbc";"outputs/2019/SIH/dbc/RDBA1901.dbc";2019-07-29 11:52:20
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDBA1902.dbc";"outputs/2019/SIH/dbc/RDBA1902.dbc";2019-07-29 11:52:24
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDBA1903.dbc";"outputs/2019/SIH/dbc/RDBA1903.dbc";2019-07-29 11:52:27
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDBA1904.dbc";"outputs/2019/SIH/dbc/RDBA1904.dbc";2019-07-29 11:52:29
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDBA1905.dbc";"outputs/2019/SIH/dbc/RDBA1905.dbc";2019-07-29 11:52:32
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDCE1901.dbc";"outputs/2019/SIH/dbc/RDCE1901.dbc";2019-07-29 11:52:35
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDCE1902.dbc";"outputs/2019/SIH/dbc/RDCE1902.dbc";2019-07-29 11:52:37
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDCE1903.dbc";"outputs/2019/SIH/dbc/RDCE1903.dbc";2019-07-29 11:52:39
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDCE1904.dbc";"outputs/2019/SIH/dbc/RDCE1904.dbc";2019-07-29 11:52:41
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDCE1905.dbc";"outputs/2019/SIH/dbc/RDCE1905.dbc";2019-07-29 11:52:43
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDDF1901.dbc";"outputs/2019/SIH/dbc/RDDF1901.dbc";2019-07-29 11:52:44
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDDF1902.dbc";"outputs/2019/SIH/dbc/RDDF1902.dbc";2019-07-29 11:52:46
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDDF1903.dbc";"outputs/2019/SIH/dbc/RDDF1903.dbc";2019-07-29 11:52:48
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDDF1904.dbc";"outputs/2019/SIH/dbc/RDDF1904.dbc";2019-07-29 11:52:49
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDDF1905.dbc";"outputs/2019/SIH/dbc/RDDF1905.dbc";2019-07-29 11:52:50
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDES1901.dbc";"outputs/2019/SIH/dbc/RDES1901.dbc";2019-07-29 11:52:52
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDES1902.dbc";"outputs/2019/SIH/dbc/RDES1902.dbc";2019-07-29 11:52:53
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDES1903.dbc";"outputs/2019/SIH/dbc/RDES1903.dbc";2019-07-29 11:52:55
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDES1904.dbc";"outputs/2019/SIH/dbc/RDES1904.dbc";2019-07-29 11:52:56
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDES1905.dbc";"outputs/2019/SIH/dbc/RDES1905.dbc";2019-07-29 11:52:57
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDGO1901.dbc";"outputs/2019/SIH/dbc/RDGO1901.dbc";2019-07-29 11:52:59
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDGO1902.dbc";"outputs/2019/SIH/dbc/RDGO1902.dbc";2019-07-29 11:53:01
"2019";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDGO1903.dbc";"outputs/2019/SIH/dbc/RDGO1903.dbc";2019-07-29 11:53:03
